,create_time,num_shares,LIKE,LOVE,WOW,HAHA,SAD,ANGRY,NONE,TOT,message,url,num_comments,scrape_date
138796738781525,2022-07-02T15:23:11+0000,16,11,9,1,0,0,0,0,21,"With Over 100 Applicants, We Are Ready 👊

Just 2 more days till we kickstart our Level🆙 Summer Camp! 🔵🔴

Apply using the link below 👇 
https://docs.google.com/.../1_cNJ-Um3IkNHs2ur13AHK.../edit

#LevelUp #Summer #FootballAcademy 🔵🔴",https://www.facebook.com/102912759036590/posts/138796738781525/,0,2022-07-04
137595382234994,2022-06-27T19:41:45+0000,4,17,6,0,0,0,0,0,23,"We’re so excited to get going! 🤩👊

Just 1 more week till we kick start our Level🆙 Summer Camp! 🔵🔴

Apply using the link below 👇 

https://docs.google.com/forms/d/1_cNJ-Um3IkNHs2ur13AHK_q2xLTR56WboSEBGZM7ibE/edit

#LevelUp #Summer #FootballAcademy 🔵🔴",https://www.facebook.com/102912759036590/posts/137595382234994/,0,2022-07-04
136215849039614,2022-06-22T17:19:56+0000,13,137,12,0,0,0,0,0,149,"Parents Meeting 🔵🔴

Few days left for the Summer Camp to Begin🔥

Apply using the link below 👇 

https://docs.google.com/forms/d/1_cNJ-Um3IkNHs2ur13AHK_q2xLTR56WboSEBGZM7ibE/edit

#LevelUp #Summer #FootballAcademy 🔵🔴",https://www.facebook.com/102912759036590/posts/136215849039614/,3,2022-07-04
135725562421976,2022-06-20T19:50:13+0000,5,15,3,0,0,0,0,0,18,"Two weeks to GO! 🔵🔴

Apply using the link below 👇 

https://docs.google.com/forms/d/1_cNJ-Um3IkNHs2ur13AHK_q2xLTR56WboSEBGZM7ibE/edit

#LevelUp #Summer #FootballAcademy 🔵🔴",https://www.facebook.com/102912759036590/posts/135725562421976/,0,2022-07-04
134594559201743,2022-06-16T18:15:51+0000,1,22,0,0,0,0,0,0,22,"Level🆙 Parents Meeting 🔵🔴

🗓 Wednesday 22nd June 
⏰ 7pm 
📍 National Sports School in Pembroke (location: https://goo.gl/maps/8g7D8AntwJX3jqhS6)",https://www.facebook.com/102912759036590/posts/134594559201743/,0,2022-07-04
131318376196028,2022-06-04T08:50:17+0000,14,15,5,0,0,0,0,0,20,"1️⃣ month to go 🤩💪

Last few spaces available across all our age groups. Don’t miss out on applying for this new and exciting Summer Camp! 🔵🔴

Apply via the link below 👇: 

https://docs.google.com/forms/d/1_cNJ-Um3IkNHs2ur13AHK_q2xLTR56WboSEBGZM7ibE/viewform?edit_requested=true&fs=e&s=cl

Get ready to LevelUp this summer 🙏⚽️",https://www.facebook.com/102912759036590/posts/131318376196028/,0,2022-07-04
128754986452367,2022-05-25T06:00:22+0000,3,13,8,0,0,0,0,0,21,"This is our Philosophy 👇🏻

Level🆙 Summer Camp 🔵🔴
Apply using the link below. 

https://docs.google.com/forms/d/1_cNJ-Um3IkNHs2ur13AHK_q2xLTR56WboSEBGZM7ibE/edit

#LevelUp #Summer #FootballAcademy 🔵🔴",https://www.facebook.com/102912759036590/posts/128754986452367/,0,2022-07-04
127247096603156,2022-05-19T18:30:22+0000,0,11,4,0,0,0,0,0,15,"Another exciting Outdoor Activity as part of our multi-sport approach 🏖⚽️

The boys and girls will have the opportunity, to learn and practice their beach soccer skills during our Summer Camp 🔵🔴

Apply using the link below 👇
https://docs.google.com/.../1_cNJ-Um3IkNHs2ur13AHK.../edit
#LevelUp #Summer #FootballAcademy",https://www.facebook.com/102912759036590/posts/127247096603156/,0,2022-07-04
124713116856554,2022-05-10T18:30:03+0000,3,20,3,0,0,0,0,0,23,"As part of our multi-sport approach, we are excited to launch the first of our activities, Indoor Sports, which includes basketball 🏀, futsal ⚽️ and handball 🤾‍♂

The boys and girls will have the opportunity, to learn and practice these 3 different sports throughout our camp 🔵🔴

Apply using the link below 👇

https://docs.google.com/.../1_cNJ-Um3IkNHs2ur13AHK.../edit
#LevelUp #Summer #FootballAcademy",https://www.facebook.com/102912759036590/posts/124713116856554/,0,2022-07-04
122645033730029,2022-05-03T18:08:39+0000,1,16,4,0,0,0,0,0,20,"Meet the last 2 members of our Coaching staff👇🏻 🔴🔵

✅ Martina Borg - UEFA C - National Team Player 🇲🇹
✅ Jeremy Agius Betts - CYF

Both dedicated, passionate and ready to leave an impact on the next generation of players 💪",https://www.facebook.com/102912759036590/posts/122645033730029/,0,2022-07-04
